ISO3,Country,Latitude,Longitude,Planned/ managed camp,Collective center,Individual accommodation (private),Self-settled camp,Reception/ transit camp,Undefined/ unknown,Total,,,,,
NEP,Nepal,28.394857,84.124008," 	30,941 ", 	-   , 	328 , 	-   , 	-   ," 	15,036 "," 	46,305 ",,,,,
NET,Netherlands,52.132633,5.291266, 	-   , 	-   , 	-   , 	-   , 	-   ," 	74,707 "," 	74,707 ",,,,,
NZL,New Zealand,-40.900557,174.885971, 	-   , 	-   , 	-   , 	-   , 	-   ," 	1,403 "," 	1,403 ",,,,,
NIC,Nicaragua,12.865416,-85.207229, 	-   , 	-   , 	189 , 	-   , 	-   , 	-   , 	189 ,,,,,
NGR,Niger,17.607789,8.081666," 	38,061 ", 	-   ," 	19,470 ", 	130 , 	-   , 	-   ," 	57,661 ",,,,,
NIG,Nigeria,9.081999,8.675277, 	-   , 	-   ," 	1,694 ", 	-   , 	-   , 	-   ," 	1,694 ",,,,,
NOR,Norway,60.472024,8.468946, 	-   , 	-   , 	-   , 	-   , 	-   ," 	46,106 "," 	46,106 ",,,,,
OMN,Oman,21.512583,55.923255, 	-   , 	-   , 	138 , 	-   , 	-   , 	-   , 	138 ,,,,,
PAK,Pakistan,30.375321,69.345116," 	590,136 ", 	-   ," 	1,026,371 ", 	-   , 	-   , 	-   ," 	1,616,507 ",,,,,
PLW,Palau,7.51498,134.58252, 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 ,,,,,
PAN,Panama,8.537981,-80.782127, 	-   , 	-   ," 	17,665 ", 	-   , 	-   , 	-   ," 	17,665 ",,,,,
PNG,Papua New Guinea,-6.314993,143.95555," 	2,298 ", 	-   ," 	2,499 "," 	4,581 ", 	-   , 	-   ," 	9,378 ",,,,,
PAR,Paraguay,-23.442503,-58.443832, 	-   , 	-   , 	136 , 	-   , 	-   , 	-   , 	136 ,,,,,
PER,Peru,-9.189967,-75.015152, 	-   , 	-   ," 	1,162 ", 	-   , 	-   , 	-   ," 	1,162 ",,,,,
PHI,Philippines,12.879721,121.774017, 	-   , 	-   , 	182 , 	-   , 	-   , 	-   , 	182 ,,,,,
POL,Poland,51.919438,19.145136, 	-   , 	-   , 	-   , 	-   , 	-   ," 	16,438 "," 	16,438 ",,,,,
POR,Portugal,39.399872,-8.224454, 	-   , 	-   , 	-   , 	-   , 	-   , 	598 , 	598 ,,,,,
QAT,Qatar,25.354826,51.183884, 	-   , 	-   , 	130 , 	-   , 	-   , 	-   , 	130 ,,,,,
KOR,Rep. of Korea,43.212143,76.958113, 	-   , 	-   , 	547 , 	-   , 	-   , 	1 , 	548 ,,,,,
MDA,Rep. of Moldova,47.036389,28.836016, 	-   , 	-   , 	250 , 	-   , 	-   , 	-   , 	250 ,,,,,
ROM,Romania,45.943161,24.96676, 	-   , 	-   , 	470 , 	-   , 	72 ," 	1,228 "," 	1,770 ",,,,,
RUS,Russian Federation,61.52401,105.318756, 	-   , 	-   , 	-   , 	-   , 	-   ," 	3,458 "," 	3,458 ",,,,,
RWA,Rwanda,-1.940278,29.873888, 	-   , 	-   ," 	1,838 "," 	63,169 "," 	8,342 ", 	-   ," 	73,349 ",,,,,
STK,Saint Kitts and Nevis,17.357822,-62.782998, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
LCA,Saint Lucia,13.909444,-60.978893, 	-   , 	-   , 	3 , 	-   , 	-   , 	2 , 	5 ,,,,,
VCT,Saint Vincent and the Grenadines,13.252818,-61.197163, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
STP,Sao Tome and Principe,0.18636,6.613081, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
